"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
8.315022084E-1	2.335912221E-1	1.365330702E-1	2.043220632E0	2.061057178E0
8.415432083E-1	2.312515026E0	8.445197886E-1	1.731794418E0	3.009991915E0
8.515842084E-1	2.558154217E0	1.022019036E0	1.279354413E0	3.037338246E0
8.616252083E-1	1.835728969E0	1.424868806E0	5.447441518E-2	2.324461104E0
8.716672084E-1	1.233014790E0	1.620896126E0	-1.190599526E0	2.359058489E0
8.817082084E-1	1.565728085E0	1.385835133E0	-1.352183822E0	2.490069184E0
8.917492084E-1	1.656018450E0	1.589020030E0	-1.717599133E0	2.866623195E0
9.017902084E-1	2.612864275E0	1.923386625E0	-1.370783815E0	3.522147654E0
9.118312084E-1	3.185521280E0	2.230432105E0	-2.534586722E-1	3.897000705E0
9.218722084E-1	3.455126746E0	2.507509435E0	-4.986470425E-1	4.298156962E0
9.319132084E-1	4.065126117E0	2.499401101E0	-1.523887895E0	5.009440141E0
9.419542084E-1	3.839719754E0	1.856501495E0	-2.131053413E0	4.767749389E0
9.519952083E-1	2.562147573E0	1.055392020E0	-2.727226165E0	3.887957697E0
9.620372084E-1	8.412125304E-1	2.955942929E-1	-2.841022922E0	2.977654404E0
9.720782083E-1	-5.132623408E-1	-7.753372872E-1	-2.295466007E0	2.476640937E0
9.821192084E-1	-1.818167880E0	-1.798486006E0	-6.801171345E-1	2.646289037E0
9.921602083E-1	-2.459655530E0	-2.212462442E0	1.234327344E0	3.531070571E0
1.002201208E0	-2.296588526E0	-2.733359309E0	2.953614568E0	4.633509576E0
1.012242583E0	-2.320458468E0	-3.228593917E0	4.402516015E0	5.932157571E0
1.022283583E0	-2.444258057E0	-3.072465073E0	5.149167446E0	6.475211538E0
1.032325583E0	-2.220240408E0	-3.269964137E0	5.792966940E0	7.012888057E0
1.042366583E0	-2.257881420E0	-3.941515685E0	6.676804576E0	8.075474831E0
1.052407583E0	-1.773660482E0	-2.992503229E0	4.282108980E0	5.517010459E0
1.062448583E0	-2.762034640E0	-1.935603213E0	4.274595016E0	5.444957089E0
1.072489583E0	1.218003891E-1	-1.163272564E0	2.835457834E0	3.067223422E0
1.082530583E0	1.890006333E0	-4.919005251E-1	2.084339130E0	2.856319252E0
1.092571583E0	1.259066767E0	2.610855464E0	-2.745595193E-1	2.911562863E0
1.102612583E0	1.872185335E0	4.577372321E0	-3.428127520E0	6.017430813E0
1.112653583E0	4.360486813E0	4.608670127E0	-6.061400916E0	8.774637694E0
1.122695583E0	3.926773393E0	3.322530021E0	-4.964125875E0	7.148517379E0
1.132736583E0	2.513221288E0	2.418310161E0	-3.307898533E0	4.806942686E0
1.142777583E0	6.830034663E-1	5.203869903E-1	-1.054526047E0	1.359897621E0
1.152818583E0	-1.034981583E0	-9.172503805E-1	1.970297082E0	2.407198731E0
1.162859583E0	-1.035158169E0	-1.122195289E0	3.001340711E0	3.367331401E0
1.172900583E0	-1.250561261E0	-1.411520782E0	2.765031338E0	3.346892990E0
1.182941583E0	-7.504939297E-1	-1.621241696E0	1.878694017E0	2.592519428E0
1.192982583E0	-5.697116530E-1	-1.833265829E0	1.229161621E0	2.279533562E0
1.203024583E0	-1.171949101E0	-2.145786057E0	4.042285430E-1	2.478157221E0
1.213065583E0	-1.513102267E0	-1.965404132E0	-9.277301989E-1	2.648202257E0
1.223106583E0	-1.927245787E0	-1.741622418E0	-2.546712093E0	3.637755827E0
1.233147583E0	-2.449401707E0	-1.901863609E0	-2.273784531E0	3.845354340E0
1.243188583E0	-3.020985017E0	-1.618423339E0	-1.967157712E0	3.951626758E0
1.253229583E0	-2.947378804E0	-1.163757298E0	-3.104890223E0	4.436408024E0
1.263270583E0	-2.653420562E0	-1.195139304E0	-4.635260925E0	5.473083453E0
1.273311583E0	-2.784221900E0	-1.846951237E0	-5.648374068E0	6.562564290E0
1.283352583E0	-3.792331579E0	-2.901619372E0	-5.669629866E0	7.412548590E0
1.293394583E0	-4.855070333E0	-3.915070483E0	-5.019764471E0	8.006092691E0
1.303435583E0	-5.056419497E0	-4.429051264E0	-3.526948096E0	7.590997042E0
1.313476583E0	-2.980842127E0	-4.269096587E0	-1.833518429E0	5.520180729E0
1.323517583E0	-8.590612292E-2	-3.251712638E0	-7.999341846E-2	3.253830649E0
1.333558583E0	1.686463879E0	-1.833552927E0	1.164245394E0	2.749826193E0
1.343599583E0	3.094680984E0	-9.710886186E-1	2.033933792E0	3.828439652E0
1.353640583E0	2.605460238E0	-1.702948934E-1	3.957839065E0	4.741509619E0
1.363681583E0	1.279986497E0	5.758016378E-1	4.201642230E0	4.429865730E0
1.373723583E0	-1.422496006E-2	8.832722104E-1	3.059316147E0	3.184303288E0
1.383764583E0	-1.101255240E0	3.472298849E-1	2.032388080E0	2.337505723E0
1.393805583E0	-1.510986890E0	-4.047793508E-1	1.437017566E0	2.124134457E0
1.403846583E0	-1.477818414E0	-5.211319256E-1	1.164746647E0	1.952475480E0
1.413887583E0	-6.771655331E-1	-3.983994538E-1	1.690926474E0	1.864539521E0
1.423928583E0	6.256036160E-1	1.594290125E-1	2.240116264E0	2.331291138E0
1.433969583E0	1.641739403E0	7.771230268E-1	2.388932580E0	3.001037710E0
1.444010583E0	1.978188630E0	1.473736911E0	1.979286007E0	3.162705145E0
1.454052583E0	2.094411836E0	1.909537495E0	1.552992411E0	3.231822985E0
1.464093583E0	1.645992668E0	1.738416390E0	1.180167509E0	2.669115725E0
1.474134583E0	1.612339603E0	1.514528257E0	1.577880499E0	2.717193719E0
1.484175583E0	1.804675868E0	1.438334944E0	1.945340581E0	3.018279705E0
1.494216583E0	2.743556269E0	1.540610347E0	1.971347827E0	3.713057163E0
1.504257583E0	4.144214678E0	1.937869009E0	1.821543331E0	4.924212800E0
1.514298583E0	3.673831030E0	1.849375493E0	1.129672709E0	4.265370392E0
1.524339583E0	2.506952196E0	1.267336630E0	3.407809907E-1	2.829678980E0
1.534380583E0	1.745264064E0	5.017928445E-1	-1.585402358E-1	1.822876221E0
1.544422583E0	4.882064735E-1	-3.017724609E-1	2.325127763E-1	6.192530743E-1
1.554463583E0	-3.386962391E-1	-7.282981914E-1	9.573599410E-1	1.249668538E0
1.564504583E0	4.904143456E-1	-8.199743468E-1	1.683364854E0	1.935608791E0
1.574545583E0	9.309179547E-1	-9.887279141E-1	2.431071709E0	2.784654517E0
1.584586583E0	-1.487446877E-1	-1.272100357E0	2.501751097E0	2.810537823E0
1.594627583E0	-1.069762795E0	-1.552593631E0	1.997693626E0	2.746947259E0
1.604668583E0	-1.270089938E0	-1.745507893E0	1.716419749E0	2.757901922E0
1.614709583E0	-1.758618520E0	-1.979175494E0	1.754600313E0	3.176239442E0
1.624751583E0	-2.292646480E0	-1.980834349E0	2.001056360E0	3.630999746E0
1.634792583E0	-2.471020471E0	-1.716944829E0	2.303742741E0	3.789600550E0
1.644833583E0	-2.576544002E0	-1.472952799E0	2.122655057E0	3.648812606E0
1.654874583E0	-2.390632512E0	-1.318594492E0	1.433755404E0	3.083742823E0
1.664915583E0	-1.985288174E0	-1.281678096E0	3.923709744E-1	2.395417053E0
1.674956583E0	-1.549716362E0	-1.331153142E0	-6.194519797E-1	2.134785761E0
1.684997583E0	-9.371467743E-1	-1.263247088E0	-1.346332221E0	2.070422114E0
1.695038583E0	-5.087691575E-1	-1.164112224E0	-1.032328262E0	1.636980442E0
1.705079583E0	-7.013143145E-2	-6.843791699E-1	-3.306220382E-1	7.632851355E-1
1.715121583E0	4.949660741E-2	-2.040561318E-2	4.430271578E-1	4.462503398E-1
1.725162583E0	4.368418269E-2	3.647925818E-1	4.440477893E-1	5.763335620E-1
1.735203583E0	3.186684291E-1	3.384000045E-1	-4.654974228E-1	6.578388719E-1
1.745244583E0	5.591577577E-1	-4.237126350E-2	-1.464547134E0	1.568231817E0
1.755285583E0	6.195617612E-1	5.539652109E-2	-1.873294406E0	1.973868658E0
1.765326583E0	4.786353124E-1	4.825730467E-1	-1.731038958E0	1.859694701E0
1.775367583E0	1.543783338E-1	6.938826495E-1	-1.261275699E0	1.447799085E0
1.785408583E0	3.257005099E-1	8.190341145E-1	-6.537649029E-1	1.097408881E0
1.795450583E0	1.062418911E0	6.913537288E-1	-1.033374329E0	1.635410170E0
1.805491583E0	1.672523678E0	3.833341026E-1	-2.360458101E0	2.918225991E0
1.815532583E0	1.836491884E0	3.162817419E-1	-3.108091573E0	3.623943958E0
1.825573583E0	1.691464856E0	3.680529892E-1	-2.858628888E0	3.341896989E0
1.835614583E0	1.177399291E0	2.330518895E-1	-1.865023811E0	2.217858447E0
1.845655583E0	3.147956720E-1	2.481499851E-2	-1.021770530E0	1.069451782E0
