"Time (s)"	"Acceleration (m/s²)"
2.300820750E1	-7.534955978E-2
2.304835850E1	-2.520617723E-2
2.308851050E1	1.083120686E-1
2.312866150E1	7.058934152E-2
2.316881250E1	-9.168668032E-2
2.320896350E1	-2.745735526E-2
2.324911550E1	3.212752640E-2
2.328926650E1	-3.492892742E-2
2.332941750E1	4.080420971E-2
2.336956850E1	2.194635451E-2
2.340972050E1	-6.875799358E-2
2.344987150E1	-4.285073519E-2
2.349002250E1	5.353710651E-3
2.353017350E1	3.124225795E-2
2.357032550E1	-1.366552770E-2
2.361047650E1	-1.169349575E-1
2.365062750E1	-5.016794086E-2
2.369077950E1	-4.733788848E-2
2.373093050E1	3.154982150E-2
2.377108150E1	-3.386882722E-2
2.381123250E1	-1.152953982E-1
2.385138450E1	-1.084073782E-3
2.389153550E1	-3.042189360E-2
2.393168688E1	-6.529117942E-2
2.397183788E1	-8.504716694E-2
2.401198987E1	2.167855203E-2
2.405214088E1	6.359022439E-2
2.409229188E1	-6.306806803E-3
2.413244288E1	3.381093979E-2
2.417259488E1	2.833560705E-3
2.421274588E1	-1.064298499E-1
2.425289688E1	-2.185338378E-2
2.429304787E1	-1.346613765E-3
2.433319988E1	-1.227330565E-2
2.437335087E1	-1.079103649E-1
2.441350188E1	2.621365249E-2
2.445365288E1	3.503943980E-2
2.449380488E1	-3.605276227E-2
2.453395588E1	-1.344046837E-1
2.457410687E1	7.052443743E-2
2.461425788E1	-1.344801128E-2
2.465440987E1	4.656137824E-3
2.469456088E1	1.439350605E-2
2.473471188E1	3.384777725E-2
2.477486287E1	-2.632884264E-2
2.481501488E1	-8.784389019E-2
2.485516587E1	-5.760969222E-2
2.489531688E1	8.848591447E-3
2.493546779E1	-4.129245222E-2
2.497561979E1	-1.734225690E-2
2.501577079E1	-1.195053935E-2
2.505592179E1	-9.906995952E-2
2.509607279E1	-4.533580184E-2
2.513622479E1	-3.889275491E-2
2.517637579E1	-5.923872650E-2
2.521652679E1	-3.573291957E-2
2.525667779E1	-6.014036715E-2
2.529682979E1	-6.388433933E-2
2.533698079E1	-7.107056737E-2
2.537713179E1	-2.370812058E-1
2.541728279E1	-1.462242454E-1
2.545743479E1	-1.757105845E-1
2.549758579E1	-1.839539891E-1
2.553773679E1	-2.456257421E-1
2.557788779E1	-2.563963133E-1
2.561803979E1	-2.674662620E-1
2.565819079E1	-3.225517112E-1
2.569834179E1	-3.855671543E-1
2.573849279E1	-3.538413316E-1
2.577864479E1	-5.680482298E-1
2.581879579E1	-5.517263120E-1
2.585894679E1	-5.211851352E-1
2.589909779E1	-7.602380222E-1
2.593924975E1	-5.924328732E-1
2.597940075E1	-7.003578562E-1
2.601955175E1	-8.430053598E-1
2.605970275E1	-7.952540731E-1
2.609985475E1	-7.557385898E-1
2.614000575E1	-7.567840719E-1
2.618015675E1	-8.102112508E-1
2.622030775E1	-7.798244405E-1
2.626045975E1	-7.784696406E-1
2.630061075E1	-7.970275337E-1
2.634076175E1	-7.826585859E-1
2.638091275E1	-8.302631074E-1
2.642106475E1	-8.037682039E-1
2.646121575E1	-7.373075813E-1
2.650136675E1	-8.105082893E-1
2.654151775E1	-7.394043928E-1
2.658166975E1	-6.927161300E-1
2.662182075E1	-6.469254148E-1
2.666197175E1	-5.681979185E-1
2.670212275E1	-5.412709057E-1
2.674227475E1	-5.189585155E-1
2.678242575E1	-4.722474486E-1
2.682257675E1	-4.560711265E-1
2.686272775E1	-2.041461790E-1
2.690287975E1	-1.198737681E-1
2.694303125E1	-4.836296386E-1
2.698318225E1	-2.180841869E-1
2.702333325E1	-1.329171520E-1
2.706348525E1	-4.174719018E-1
2.710363625E1	-3.933638316E-1
2.714378725E1	-3.520398045E-1
2.718393825E1	-3.239000791E-1
2.722409025E1	-2.912732005E-1
2.726424125E1	-2.264556456E-1
2.730439225E1	-2.050501585E-1
2.734454325E1	-1.575824618E-1
2.738469525E1	-1.373768234E-1
2.742484625E1	-6.807620823E-2
2.746499725E1	-5.865108132E-2
2.750514825E1	3.619426489E-3
2.754530025E1	-6.494560897E-2
2.758545125E1	-2.182765603E-2
2.762560225E1	-2.168381453E-2
2.766575325E1	-2.214515984E-2
2.770590525E1	-2.977343738E-2
2.774605625E1	-3.546921015E-2
2.778620725E1	-5.985794663E-3
2.782635825E1	-1.557172000E-2
2.786651025E1	1.203444690E-1
2.790666125E1	9.576569796E-3
2.794681154E1	-1.287030637E-2
2.798696254E1	-2.843559444E-2
2.802711454E1	-2.005478024E-2
2.806726554E1	-3.083470702E-2
2.810741654E1	-1.197977543E-2
2.814756754E1	-4.132753551E-2
2.818771854E1	-1.019929826E-2
2.822787054E1	-2.712055564E-2
2.826802154E1	-1.979808748E-2
2.830817254E1	-1.844445705E-2
2.834832354E1	-3.954647362E-2
2.838847554E1	-2.158324242E-2
2.842862654E1	-2.952083766E-2
2.846877754E1	-3.550663233E-2
2.850892854E1	-1.454787254E-2
2.854908054E1	-1.993783593E-2
2.858923154E1	-1.274751484E-2
2.862938254E1	-2.128620386E-2
2.866953354E1	-3.766776323E-3
2.870968454E1	-1.873798728E-2
2.874983654E1	-8.563247323E-3
2.878998754E1	-2.697320580E-2
2.883013854E1	-1.559744775E-2
2.887028954E1	-1.874734282E-2
2.891044154E1	-1.005721092E-2
2.895059250E1	-1.305390894E-2
2.899074350E1	-2.353387356E-2
2.903089450E1	-1.589916408E-2
2.907104550E1	-3.475701928E-2
2.911119750E1	-2.188612819E-2
2.915134850E1	-3.041546166E-2
2.919149950E1	-9.604636431E-3
2.923165050E1	-1.932153940E-2
